SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.300000,16,16,0,4,8.64551,8.64551,2.04811,0,0
0,0,0.300000,32,16,0,4,6.8055,6.8055,1.97115,0,0
0,0,0.300000,64,16,0,4,5.37273,5.37273,1.97059,0,0
0,0,0.300000,128,16,0,4,4.79675,4.79675,2.05629,0,0
0,0,0.300000,256,16,0,4,4.5029,4.5029,2.00562,0,0
0,0,0.300000,512,16,0,4,4.4237,4.4237,2.06292,0,0
0,1,0.300000,16,16,0,4,9.22479,9.22479,2.03948,0,0
0,1,0.300000,32,16,0,4,6.94777,6.94777,2.03733,0,0
0,1,0.300000,64,16,0,4,5.75151,5.75151,2.01046,0,0
0,1,0.300000,128,16,0,4,5.09563,5.09563,2.02044,0,0
0,1,0.300000,256,16,0,4,4.64922,4.64922,1.9883,0,0
0,1,0.300000,512,16,0,4,4.52204,4.52204,1.98579,0,0
0,0,0.300000,16,16,1,4,8.2356,8.2356,2.0961,0,0
0,0,0.300000,32,16,1,4,6.83831,6.83831,2.12133,0,0
0,0,0.300000,64,16,1,4,5.25444,5.25444,2.11942,0,0
0,0,0.300000,128,16,1,4,4.88945,4.88945,2.06217,0,0
0,0,0.300000,256,16,1,4,4.50917,4.50917,2.07091,0,0
0,0,0.300000,512,16,1,4,4.47493,4.47493,2.10272,0,0
0,1,0.300000,16,16,1,4,9.37019,9.37019,2.07719,0,0
0,1,0.300000,32,16,1,4,7.03845,7.03845,2.09184,0,0
0,1,0.300000,64,16,1,4,5.22219,5.22219,2.05392,0,0
0,1,0.300000,128,16,1,4,4.53686,4.53686,2.1341,0,0
0,1,0.300000,256,16,1,4,4.35311,4.35311,2.05758,0,0
0,1,0.300000,512,16,1,4,4.23231,4.23231,2.04871,0,0
0,0,0.300000,16,64,0,4,8.64438,8.64438,2.02618,0,0
0,0,0.300000,32,64,0,4,6.79737,6.79737,2.02331,0,0
0,0,0.300000,64,64,0,4,5.35607,5.35607,2.00827,0,0
0,0,0.300000,128,64,0,4,5.10132,5.10132,2.01156,0,0
0,0,0.300000,256,64,0,4,4.80211,4.80211,2.00016,0,0
0,0,0.300000,512,64,0,4,4.43651,4.43651,2.0027,0,0
0,1,0.300000,16,64,0,4,8.89296,8.89296,1.9912,0,0
0,1,0.300000,32,64,0,4,6.88854,6.88854,2.0037,0,0
0,1,0.300000,64,64,0,4,5.3941,5.3941,2.00709,0,0
0,1,0.300000,128,64,0,4,4.75934,4.75934,1.96368,0,0
0,1,0.300000,256,64,0,4,4.71091,4.71091,1.98614,0,0
0,1,0.300000,512,64,0,4,4.48332,4.48332,1.97014,0,0
0,0,0.300000,16,64,1,4,8.11301,8.11301,2.14732,0,0
0,0,0.300000,32,64,1,4,6.38967,6.38967,2.08377,0,0
0,0,0.300000,64,64,1,4,5.10105,5.10105,2.07519,0,0
0,0,0.300000,128,64,1,4,4.58163,4.58163,1.98665,0,0
0,0,0.300000,256,64,1,4,4.42785,4.42785,2.04899,0,0
0,0,0.300000,512,64,1,4,4.32583,4.32583,2.07008,0,0
0,1,0.300000,16,64,1,4,8.50909,8.50909,2.08636,0,0
